title,artist,lyrics,genre,year,source,url,scraped_at
Senle AçamamFatih Yeşilgül,Unknown,"Şarkı Sözleri
Sanatçılar
Fatih Yeşilgül
Senle Açamam
Senle Açamam
Fatih Yeşilgül
Şarkı Sözleri
İzle ve Dinle
Bir fidan olsam toprakta suyum sen olsan
Kurur kalırım gülüm senle açamam
Varsa söylenecek bir söz sevgi adına
Bırak ben söylerim gülüm sen sadece sus...
Görmedin mi vefasızlar vefa görmezler
Bilir misin son sözü aşk adamı söyler
Son demlere bakıp yüreğini soğutma
Bu yürek kırk vefasızı bir anda siler..
Tel tel olsa yüreğim her tel sen olsan
Koparırım yüreğimi yine aramam seni..
Varsa söylenecek bir söz sevgi adına
Bırak ben söylerim gülüm sen sadece sus..
Şiir :
İşte böyle gideceksin salına salına
Ardına baka baka
Kimi bekliyorsun da bakarsın ardina demezler mi adama
Sen bir gurursuzu sevmedin ki güzelim ki gelsin ardından
O asilce sevdi ve asilce gitti
Yaptığını çekeceğinden kuşkun mu vardı da
Şimdi elem içinde ağlarsin
Görünen köy misali varmıydı gerek kılavuza
Şimdi yerli yersiz ağlama vaktidir
Çevrene ne yapacagım diye sorma vaktidir
Alacağin cevabı ben söyleyim güzelim
Bilmiyorum diyecekler
Kimin gücü yeterki zamanı geri çevirmeye
Öyleyse sen sadece susmayı dene
İlk gittiğin gibi güçlü sansınlar seni
Bu beni daha mutlu eder
Bir çaresizimi sevmişim dememem için
Sen öyle olmasanda ve ben bilsemde
Sen güçlüymüş gibi yap
Şimdi hoşcakal deme zamanı ama sen hoşcakalmayı haketmiyorsun
Sevmenin ve sevilmenin hakkını verebilenindir o
Sana söylenecek tek bir sözum var
Bu ömrü sevgiye hasret
Mecnun misali yaşaman dileğiyle...
Burada yer alan videolar YouTube üzerinden anlık olarak alınmaktadır. YouTube üzerinden kaldırıldığında buradan da otomatik olarak kaldırılacaktır. Özel olarak kaldırılmasını istediğiniz içerik varsa bize
[email protected]
adresinden ulaşabilirsiniz.
Videoları Göster
Diğer Şarkıları
Adın Leke Sevgiye
Allah Canımı Alsın
Canına Kıyamadım
Cehennemler İçindesin
İnadına
Kalamaz Mıydın?
Ki Göresin
Saydım Gitti
Yaz Bir Kenara",pop,Unknown,sarkisozleri.bbs.tr,https://www.sarkisozleri.bbs.tr/sarki/27095/senle-acamam,2025-10-25T20:34:00.968558
Fatih Yeşilgül,Unknown,"Şarkı Sözleri
Sanatçılar
Fatih Yeşilgül
Fatih Yeşilgül
Tweet
Adın Leke Sevgiye
Allah Canımı Alsın
Canına Kıyamadım
Cehennemler İçindesin
İnadına
Kalamaz Mıydın?
Ki Göresin
Saydım Gitti
Senle Açamam
Yaz Bir Kenara",pop,Unknown,sarkisozleri.bbs.tr,https://www.sarkisozleri.bbs.tr/sanatci/722/fatih-yesilgul,2025-10-25T20:34:01.692775
Girl You Left Me ForDeana Carter,Unknown,"Şarkı Sözleri
Sanatçılar
Deana Carter
Girl You Left Me For
Girl You Left Me For
Deana Carter
Şarkı Sözleri
İzle ve Dinle
I wish I could give you the love you deserve
I wish I could be your servant du jour
I wish I could tell you the things that I'm not
I wanna show you what I've got
And I wish you would love me anyway
Chorus
I wanna be the girl you left me for
I wanna be the one that you adore
I wanna be the girl you left me for
I'm gonna treat you more like a king
Make me a puppet without any strings
I want your perfume on my pillowcase
She's gonna turn you inside out and I...
I'm gonna love you anyway
Chorus
I wanna be the girl you left me for
I wanna be the one that you adore
I wanna be the girl you left me for
Bridge
You've got me on my knees
Don't break my heart again
I don't want your sympathy
I don't want to be your friend
Yeah Yeah Yeah
Yeah Yeah Yeah
Yeah Yeah Yeah
Yeah Yeah Yeah
I wanna feel you on my fingertips
Chorus
I wanna be the girl you left me for
I wann be the one that you adore
I wanna be the girl you left me for
I wanna be the one that you adore
I wanna be the girl you left me for
Burada yer alan videolar YouTube üzerinden anlık olarak alınmaktadır. YouTube üzerinden kaldırıldığında buradan da otomatik olarak kaldırılacaktır. Özel olarak kaldırılmasını istediğiniz içerik varsa bize
[email protected]
adresinden ulaşabilirsiniz.
Videoları Göster
Diğer Şarkıları
Did I Shave My Legs For This?
I've Loved Enough To Know
One Day at a Time
Strawberry Wine",pop,Unknown,sarkisozleri.bbs.tr,https://www.sarkisozleri.bbs.tr/sarki/69686/girl-you-left-me-for,2025-10-25T20:34:19.646940
Deana Carter,Unknown,"Şarkı Sözleri
Sanatçılar
Deana Carter
Deana Carter
Tweet
Did I Shave My Legs For This?
Girl You Left Me For
I've Loved Enough To Know
One Day at a Time
Strawberry Wine",pop,Unknown,sarkisozleri.bbs.tr,https://www.sarkisozleri.bbs.tr/sanatci/5170/deana-carter,2025-10-25T20:34:20.381243
Tuna In The BrineSilverchair,Unknown,"Şarkı Sözleri
Sanatçılar
Silverchair
Tuna In The Brine
Tuna In The Brine
Silverchair
Şarkı Sözleri
İzle ve Dinle
I FONDLE keys to my heart
when everyone's heart seems so calm
And you found the lock to my dorm
and opened the doors to my trust
Fund
Burada yer alan videolar YouTube üzerinden anlık olarak alınmaktadır. YouTube üzerinden kaldırıldığında buradan da otomatik olarak kaldırılacaktır. Özel olarak kaldırılmasını istediğiniz içerik varsa bize
[email protected]
adresinden ulaşabilirsiniz.
Videoları Göster
Diğer Şarkıları
Israel's Son
Learn to Hate
One Way Mule
Straight Lines
Strange Behaviour
Take Her Out
The Greatest View
Those Thieving Birds (Part 2)
Waiting All Day",pop,Unknown,sarkisozleri.bbs.tr,https://www.sarkisozleri.bbs.tr/sarki/92577/tuna-in-the-brine,2025-10-25T20:34:31.915510
Silverchair,Unknown,"Şarkı Sözleri
Sanatçılar
Silverchair
Silverchair
Tweet
Israel's Son
Learn to Hate
One Way Mule
Straight Lines
Strange Behaviour
Take Her Out
The Greatest View
Those Thieving Birds (Part 2)
Tuna In The Brine
Waiting All Day",pop,Unknown,sarkisozleri.bbs.tr,https://www.sarkisozleri.bbs.tr/sanatci/3586/silverchair,2025-10-25T20:34:32.192885
Abe Kaynana Naptın Bizeİzmirli Taylan,Unknown,"Şarkı Sözleri
Sanatçılar
İzmirli Taylan
Abe Kaynana Naptın Bize
Abe Kaynana Naptın Bize
İzmirli Taylan
Şarkı Sözleri
İzle ve Dinle
sevenleri sevdiğine vermediler vermediler,
güzel yüzlüm şirin sözlüm çok gördüler çok gördüler.
onsuz geçmez bugünlerim,bugünlerim, bugünlerim,
kızım gönlüm seni arıyor, seni istiyor, seni arıyor.
abe kaynana ne yaptın bize ne yaptın bize ne yaptın bize,
biz birbirimizi çok sevdik, kaçıyoz bize, kaçıyoz yarimle.
sevenleri sevdiğine vermediler vermediler,
güzel yüzlüm şirin sözlüm çok gördüler çok gördüler.
onsuz geçmez bugünlerim,bugünlerim, bugünlerim,
kızım gönlüm seni arıyor, seni istiyor, anan vermiyor.
abe kaynana ne yaptın bize ne yaptın bize ne yaptın bize,
biz birbirimizi çok sevdik, kaçıyoz bize, kaçıyoz yarimle.
abe kaynana ne yaptın bize ne yaptın bize ne yaptın bize,
biz birbirimizi çok sevdik, kaçıyoz bize, kaçıyoz yarimle
Burada yer alan videolar YouTube üzerinden anlık olarak alınmaktadır. YouTube üzerinden kaldırıldığında buradan da otomatik olarak kaldırılacaktır. Özel olarak kaldırılmasını istediğiniz içerik varsa bize
[email protected]
adresinden ulaşabilirsiniz.
Videoları Göster
Diğer Şarkıları
Çiçekci Kız
Mahallenin Güzeli Sezen
Vermediler",pop,Unknown,sarkisozleri.bbs.tr,https://www.sarkisozleri.bbs.tr/sarki/5582/abe-kaynana-naptin-bize,2025-10-25T20:34:35.297269
İzmirli Taylan,Unknown,"Şarkı Sözleri
Sanatçılar
İzmirli Taylan
İzmirli Taylan
Tweet
Abe Kaynana Naptın Bize
Çiçekci Kız
Mahallenin Güzeli Sezen
Vermediler",pop,Unknown,sarkisozleri.bbs.tr,https://www.sarkisozleri.bbs.tr/sanatci/1284/izmirli-taylan,2025-10-25T20:34:35.592907
Amorphis,Unknown,"Şarkı Sözleri
Sanatçılar
Amorphis
Amorphis
Tweet
Alone
And I Hear Your Call
Born From Fire
Exile of the Sons of Uisliu
God Of Deception
In The Beginning
Into Hiding
The Brother-Slayer
The Gathering
Thousand Lakes
Vulgar Necrolatry (CD bonus track)",pop,Unknown,sarkisozleri.bbs.tr,https://www.sarkisozleri.bbs.tr/sanatci/3551/amorphis,2025-10-25T20:34:36.245254
Run in the Morning SunLady & Bird,Unknown,"Şarkı Sözleri
Sanatçılar
Lady & Bird
Run in the Morning Sun
Run in the Morning Sun
Lady & Bird
Şarkı Sözleri
İzle ve Dinle
Run run run
Run run run
Run in the morning sun
Run run run
Run in the break of dawn
Burada yer alan videolar YouTube üzerinden anlık olarak alınmaktadır. YouTube üzerinden kaldırıldığında buradan da otomatik olarak kaldırılacaktır. Özel olarak kaldırılmasını istediğiniz içerik varsa bize
[email protected]
adresinden ulaşabilirsiniz.
Videoları Göster
Diğer Şarkıları
Suicide is Painless",pop,Unknown,sarkisozleri.bbs.tr,https://www.sarkisozleri.bbs.tr/sarki/47950/run-in-the-morning-sun,2025-10-25T20:34:38.015980
